,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Material (i),,,,,,,,,,,
Name,Description,,,,,,,,Replacer,,,
NBR,nitrile butadiene rubber,,,,,,,,-,,,
FPM,flouride rubber,,,,,,,,-,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,GOST (i),,,,,,,,,,,
Name,Description,,,,,,,,Replacer,,,
13943-86,Eccentric inner flat thrust spring retaining rings,,,,,,,,-,,,
,,,,,,,,,,,,
Category:,Screw,,,,,,,,,,,
Name,"Dimensions, mm",GOST,GOST (newer),Material,Screw class,,,,Replacer,,,
M10x1.5x18,M10x1.5x18,1490-80,17475-80,-,4.8 or higher,,,,DIN 963; DIN 7991,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
874901,needle,needle (-),open,-,-,13x32x20,-,-,-,,,
904700US17,needle,needle (-),-,single row,-,10x19x9,-,-,-,,,
Needle 2.5x10,needle,needle (1),-,-,-,2.5x10,6870-54,-,INA NRB 2.5x9.8-G2,,,
INA NRB 2.5x9.8-G2,needle,needle (1),-,-,-,2.5x9.8,-,-,-,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Seal,,,,,,,,,,,
"Size, mm",Name,Manufacturer,Rotation,Material,,,,,Replacer,,,
50x65x8,01030104B,Corteco,-,-,,,,,-,,,
50x65x8,01014252B,Corteco,-,-,,,,,-,,,
50x70x6/10.25,12011238B,Corteco,-,-,,,,,-,,,
50x70x9,01019463B,Corteco,-,-,,,,,-,,,
50x70x9,01032639B,Corteco,-,-,,,,,-,,,
50x70x10,12000520B,Corteco,-,-,,,,,-,,,
50x70x9.5/11.5,19019529B,Corteco,-,-,,,,,-,,,
50x70x10,12014726B,Corteco,-,-,,,,,-,,,
50x70x9,T1086,Musashi,-,-,,,,,-,,,
15x30x7,12011109B,Corteco,-,-,,,,,-,,,
15x30x7,12010794B,Corteco,-,-,,,,,-,,,
16x30x7,19026201B,Corteco,-,-,,,,,-,,,
31.4x45.1x8,NJ416,Payen,-,-,,,,,-,,,
60x85x13,01002867B,Corteco,-,-,,,,,-,,,
60x85x8,12015893B,Corteco,-,-,,,,,-,,,
60x85x8,12015894B,Corteco,-,-,,,,,-,,,
60x85x8,12011193B,Corteco,-,-,,,,,-,,,
20x34x7,19026213B,Corteco,-,-,,,,,-,,,
20x40x5.5,12014346B,Corteco,-,-,,,,,-,,,
36x48x10,12000792B,Corteco,right,-,,,,,-,,,
35x48x7,2012018755,Hans Pries,right,-,,,,,-,,,
18x35x8,H3070,Musashi,left,-,,,,,-,,,
18x35x10,12010819B,Corteco,left,-,,,,,-,,,
22x40x12,43605,Erling,left,-,,,,,-,,,
12x25x7,OAS-12X25x7-NBR,-,-,-,,,,,-,,,
24x38x7/7.8,19017089,Corteco,left,-,,,,,-,,,
24x38x8,5306127,USSR,left,-,,,,,19017089,,,
59.7x85x12,MT801190,USSR,-,-,,,,,01002867B; 12015893B; 12015894B; 12011193B,,,
50x65x5.5,7201142,USSR,-,felt,,,,,01030104B (crankshaft rear bearing housing mashining); 01014252B (crankshaft rear bearing housing mashining); 7201191 (crankshaft rear bearing housing mashining),,,
15x30x7,7201122,USSR,-,-,,,,,12011109B; 12010794B; 19026201B,,,
15x30x7,7201124,USSR,-,-,,,,,12011109B; 12010794B; 19026201B,,,
15.8x30x7,MT804130,USSR,-,-,,,,,12011109B; 12010794B; 19026201B,,,
50x70x9,7201191,USSR,-,-,,,,,12011238B; 01019463B; 01032639B; 12000520B; 19019529B; 12014726B; T1086,,,
50x70x9,7201025,USSR,-,-,,,,,12011238B; 01019463B; 01032639B; 12000520B; 19019529B; 12014726B; T1086,,,
31.4x45.1x8,7204152,USSR,-,-,,,,,NJ416,,,
31.5x45x7,7204151,USSR,-,-,,,,,NJ416,,,
36x48x8,7204157,USSR,right,-,,,,,12000792B; 2012018755,,,
35.4x48.1x8.5,6204157,USSR,right,-,,,,,12000792B; 2012018755,,,
19x38x8,7204122,USSR,-,-,,,,,19026213B,,,
19.5x34x8.5,75004122,USSR,-,-,,,,,19026213B,,,
19.8x40x10,IMZ-8.101-04122,USSR,-,-,,,,,12014346B,,,
4.4x10x10.3x8,MT803605,USSR,-,oil-resistant rubber,,,,,-,,,
11.5x25.1x7,6204147,USSR,-,-,,,,,OAS-12X25x7-NBR,,,
4.5,7204142,USSR,-,felt,,,,,-,,,
11x6.5x11,7203213,USSR,-,felt,,,,,-,,,
11x6.5x11,75003213-A,USSR,-,oil-resistant rubber,,,,,-,,,
11x6.5x11,6326155,USSR,-,oil-resistant rubber,,,,,-,,,
11x6.5x11,7203213-20,USSR,-,oil-resistant rubber,,,,,-,,,
18x35x7.5,G4143701459,USSR,left,-,,,,,H3070; 12010819B,,,
22x40x12,22x40x12,USSR,left,-,,,,,43605,,,
43.5x93x11,7205113,USSR,left,oil-resistant rubber,,,,,19016629B,,,
45x59x8,19016629B,Corteco,any,NBR,,,,,-,,,
33x49.3x8,7205334,USSR,left,-,,,,,19036249B,,,
33x49x8,19036249B,Corteco,right,FPM,,,,,-,,,
51x58x3.5,5308159,USSR,-,oil-resistant rubber,,,,,-,,,
51x59.5x5,IMZ-8.101-08159,USSR,-,oil-resistant rubber,,,,,-,,,
Felt seal 4mm thickness,7206114,USSR,-,felt,,,,,-,,,
Felt seal 6mm thickness,5308156,USSR,-,felt,,,,,-,,,
Felt seal ring,Felt seal ring,USSR,-,felt,,,,,-,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Oil,,,,,,,,,,,
Usage,Name,"Viscosity, SAE",Base,Seasonality,Manufacturer,,,,Replacer,,,
Motor,M8,20W-20,Mineral,Multigrade,USSR,,,,SAE 50 Mineral; 20W-50 Mineral; 25W-70 Mineral; 15W-50 Semisynthetic; SAE 60 Synthetic; 5W-50 Synthetic; 5W-60 Synthetic; 10W-50 Synthetic; 10W-60 Synthetic; 15W-50 Synthetic; 20W-50 Synthetic; 20W-60 Synthetic,,,
Motor,SAE 50 Mineral,50,Mineral,Summer use,-,,,,-,,,
Motor,20W-50 Mineral,20W-50,Mineral,Multigrade,Areca; Mannol,,,,-,,,
Motor,25W-70 Mineral,25W-70,Mineral,Multigrade,-,,,,-,,,
Motor,15W-50 Semisynthetic,15W-50,Semisynthetic,Multigrade,-,,,,-,,,
Motor,SAE 60 Synthetic,60,Synthetic,Summer use,-,,,,-,,,
Motor,5W-50 Synthetic,5W-50,Synthetic,Multigrade,-,,,,-,,,
Motor,5W-60 Synthetic,5W-60,Synthetic,Multigrade,-,,,,-,,,
Motor,10W-50 Synthetic,10W-50,Synthetic,Multigrade,-,,,,-,,,
Motor,10W-60 Synthetic,10W-60,Synthetic,Multigrade,Agip; Eni; Mannol,,,,-,,,
Motor,15W-50 Synthetic,15W-50,Synthetic,Multigrade,-,,,,-,,,
Motor,20W-50 Synthetic,20W-50,Synthetic,Multigrade,-,,,,-,,,
Motor,20W-60 Synthetic,20W-60,Synthetic,Multigrade,-,,,,-,,,
Gear,Gear oil for gearbox,-,Mineral,Multigrade,-,,,,80W-90; 85W-90; 75W-90,,,
Gear,Gear oil for final drive,-,Mineral,Multigrade,-,,,,85W-140; 80W-140,,,
Gear,80W-90,80W-90,Mineral,Multigrade,-,,,,-,,,
Gear,85W-90,85W-90,Mineral,Multigrade,-,,,,-,,,
Gear,85W-140,85W-140,Mineral,Multigrade,-,,,,-,,,
Gear,75W-90,75W-90,Synthetic,Multigrade,-,,,,-,,,
Gear,80W-140,80W-140,Synthetic,Multigrade,-,,,,-,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Spark plug,,,,,,,,,,,
Name,Manufacturer,GOST,Heat range,Thread,"Thread length, mm","Gap, mm",,,Replacer,,,
14-10A,Beru,-,-,M14x1.25,-,-,,,-,,,
14-9A,Beru,-,-,M14x1.25,-,-,,,-,,,
14-8B,Beru,-,-,M14x1.25,-,-,,,-,,,
14-7B,Beru,-,-,M14x1.25,-,-,,,-,,,
W10AC,Bosch,-,-,M14x1.25,-,-,,,-,,,
W9AC,Bosch,-,-,M14x1.25,-,-,,,-,,,
W8BC,Bosch,-,-,M14x1.25,-,-,,,-,,,
W7BC,Bosch,-,-,M14x1.25,-,-,,,-,,,
N19,Brisk,-,-,M14x1.25,-,-,,,-,,,
N17Y,Brisk,-,-,M14x1.25,-,-,,,-,,,
N15Y,Brisk,-,-,M14x1.25,-,-,,,-,,,
L86C,Champion,-,-,M14x1.25,-,-,,,-,,,
L92YC,Champion,-,-,M14x1.25,-,-,,,-,,,
L87YC,Champion,-,-,M14x1.25,-,-,,,-,,,
W14F-U,Denso,-,-,M14x1.25,-,-,,,-,,,
W14FP,Denso,-,-,M14x1.25,-,-,,,-,,,
W16FP,Denso,-,-,M14x1.25,-,-,,,-,,,
B-4H,NGK,-,-,M14x1.25,-,-,,,-,,,
BP5HS,NGK,-,-,M14x1.25,-,-,,,-,,,
BP6HS,NGK,-,-,M14x1.25,-,-,,,-,,,
A10NT,USSR,2043-74,10,M14x1.25,11,0.5-0.7,,,W10AC; 14-10A; L86C; B-4H; W14F-U; N19,,,
A11N,USSR,2043-74,11,M14x1.25,11,0.5-0.7,,,W9AC; 14-9A; L86C; B-4H; W14F-U; N19,,,
A14V,USSR,2043-74,14,M14x1.25,12,0.5-0.7,,,W8BC; 14-8B; L92YC; BP5HS; W14FP; N17Y,,,
A17,USSR,2043-74,17,M14x1.25,12,0.5-0.7,,,W7BC; 14-7B; L87YC; BP6HS; W16FP; N15Y,,,
NA11,USSR,B 2043-43,10,M14x1.25,11,0.5-0.7,,,A10NT; W10AC; 14-10A; L86C; B-4H; W14F-U; N19,,,
11A,USSR,B 2043-43,10,M14x1.25,11,0.5-0.7,,,A10NT; W10AC; 14-10A; L86C; B-4H; W14F-U; N19,,,
A8U,USSR,2043-54,10,M14x1.25,11,0.5-0.7,,,A10NT; W10AC; 14-10A; L86C; B-4H; W14F-U; N19,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Universal joint cross,,,,,,,,,,,
Name,Manufacturer,"Dimencions, mm",Material,,,,,,Replacer,,,
7205311,USSR,-,-,,,,,,-,,,
,,,,,,,,,,,,
Category:,Universal joint,,,,,,,,,,,
Name,Manufacturer,"Dimensions, mm",Universal joint cross,Bearing,Lock ring,Material,,,Replacer,,,
Default universal joint,USSR,19x44.6,7205311,904700US17 (4),7205317 (4),-,,,UJ1944; 50-3401062; U.4301-3401485 (U - means strengthened); 4301-3401485 (Low resource expected); UJR 3302 (Quality unknown); CC 902 (Low quality expected),,,
UJ1944,"Grokard, Belarus",19x44.6,-,-,-,-,,,-,,,
50-3401062,"MTZ, Belarus",19x44.6,-,-,-,-,,,-,,,
U.4301-3401485,Russia / China - ?,19x44.6,-,-,-,-,,,-,,,
4301-3401485,Russia / China - ?,19x44.6,-,-,-,-,,,-,,,
UJR 3302,Weber,19x44.6,-,-,-,-,,,-,,,
CC 902,"Trialli, Russia / China - ?",19x44.6,-,-,-,-,,,-,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Generator,,,,,,,,,,,
Name,Type,"Tension, V","Power, W","Amperage, A",Bearing,Seal,Screw,,,,,
G-11A,Direct current type,6,45,7,201 (Rotor shaft - 1); 18 (Rotor shaft - 1),Felt seal ring,M10x1.5x18 (Pole shoe screw - 1),,,,,
G-414,Direct current type,6,65,10,201 (Rotor shaft - 1); 200 (Rotor shaft - 1),18x35x7.5 (Rotor shaft - 1),M10x1.5x18 (Pole shoe screw - 1),,,,,
G-424,Alternator,14,150,11,180503 (Rotor shaft - 2),22x40x12 (Rotor shaft - 1),-,,,,,
,,,,,,,,,,,,
Category:,Final drive,,,,,,,,,,,
Name,Bearing,Seal,Oil,Universal joint,,,,,,,,
M-72 type,207 (hub - 1); Half-bearing 7205238/39 (hub - 1+1); 3086304 L (drive pinion - 1); 874901 (drive pinion - 1),"43.5x93x11 (casing - 1); 33x49.3x8 (universal joint unit, driven fork - 1)",Gear oil for final drive (0.1 L),Default universal joint,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Sidecar reduction drive,,,,,,,,,,,
Name,Manufacturer,Bearing,Seal,Universal joint,,,,,,,,
Sidecar reduction drive KMZ type,KMZ,204 (Left cover - 1); 3086304L (Left cover - 1),-,Default universal joint,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Gearbox,,,,,,,,,,,
Name,Manufacturer,Bearing,Seal,Oil,,,,,,,,
7204,KMZ,205 (clutch shaft - 1); 12204 (clutch shaft - 1); 304 (main shaft - 2); 948066 (clutch release rod - 1),31.4x45.1x8 (clutch shaft - 1); 35.4x48.1x8.5 (main shaft - 1); 19x38x8 (kickstarter shaft - 1); 11.5x25.1x7 (gearshift lever - 1); 11x6.5x11 (clutch release rod - 1); 4.5 (right and left covers - 2),M8 (1.2 L),,,,,,,,
6204,KMZ,205 (clutch shaft - 1); 12204 (clutch shaft - 1); 304 (main shaft - 2); 948066 (clutch release rod - 1),31.4x45.1x8 (clutch shaft - 1); 35.4x48.1x8.5 (main shaft - 1); 19x38x8 (kickstarter shaft - 1); 11.5x25.1x7 (gearshift lever - 1); 11x6.5x11 (clutch release rod - 1); 11.5x25.1x7 (right and left covers - 2),M8 (1.2 L),,,,,,,,
MT804,KMZ,205 (clutch shaft - 1); 303 (clutch shaft - 1); 304 (main shaft - 2); 948066 (clutch release rod - 1),31.5x45x7 (clutch shaft - 1); 36x48x8 (main shaft - 1); 19.5x34x8.5 (kickstarter shaft - 1); 15.8x30x7 (gearshift lever - 1); 4.4x10.3x8 (clutch release rod - 1),Gear oil for gearbox (1.2L),,,,,,,,
8.101-04001,IMZ,205 (clutch shaft - 1); 12204 (clutch shaft - 1); 304 (main shaft - 2); 948066 (clutch release rod - 1),31.4x45.1x8 (clutch shaft - 1); 35.4x48.1x8.5 (main shaft - 1); 19.8x40x10 (kickstarter shaft - 1); 11.5x25.1x7 (gearshift lever - 1); 11x6.5x11 (clutch release rod - 1),M8 (1.2 L),,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Engine,,,,,,,,,,,
Name,Manufacturer,"Power, hp","Torque, nm","Max speed, rpm",Spark plug,Bearing,Seal,Oil,Image,,,
Engine M-72 type,IMZ / KMZ,22,30,5900,NA11; 11A,"207 (crankshaft - 2); 7201404 (camshaft, front journal - 1); 7201107 (camshaft, rear journal - 1)",50x65x5.5 (crankshaft - 1); 15x30x7 (camshaft - 1),M8 (2.1 L),-,,,
Engine K-750 type,KMZ,26,30,5900,A8U,"207 (crankshaft - 2); 205 (camshaft, front journal - 1)",50x65x5.5 (crankshaft - 1); 15x30x7 (camshaft - 1),M8 (2.1 L),-,,,
Engine K-750M type,KMZ,26,30,5900,A8U,"207 (crankshaft - 2); 205 (camshaft, front journal - 1)",50x65x5.5 (crankshaft - 1); 15x30x7 (camshaft - 1),M8 (2.1 L),engine_engine_k-750m_type.png,,,
MT-8,KMZ,32,30,5900,A8U,"42209 (crankshaft, rear journal - 1); 209 (crankshaft, front journal - 1); 205 (camshaft, front journal - 1)",59.7x85x12 (crankshaft - 1); 15x30x7 (camshaft - 1),M8 (2.1 L),-,,,
Engine MT-9 type,KMZ,32,30,5900,A8U,"42209 (crankshaft, rear journal - 1); 209 (crankshaft, front journal - 1); 205 (camshaft, front journal - 1)",59.7x85x12 (crankshaft - 1); 15x30x7 (camshaft - 1),M8 (2.1 L),-,,,
Engine M67 type,IMZ,32,30,5900,A11N; A14V,"207 (crankshaft - 2); 205 (camshaft, front journal - 1)",50x70x9 (crankshaft - 1); 15x30x7 (camshaft - 1),M8 (2.1 L),-,,,
Engine M67-36 type,IMZ,36,30,5900,A11N; A14V,"207 (crankshaft - 2); 205 (camshaft, front journal - 1)",50x70x9 (crankshaft - 1); 15x30x7 (camshaft - 1),M8 (2.1 L),-,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Frame and wheels,,,,,,,,,,,
Name,Wheel,Bearing,Seal,,,,,,,,,
Frame M-72 type,Wheel M-72 type (4),7787007 (Steering head - 2),-,,,,,,,,,
Frame M-72M type,Wheel M-72M type (4),7787007 (Steering head - 2),-,,,,,,,,,
Frame M-72N type,Wheel M-72N type (4),7787007 (Steering head - 2);  Needle 2.5x10 (Front fork levers - 120),"Felt seal 6mm thickness (Steering head, upper - 1); 51x58x3.5 (Steering head, lower - 1)",,,,,,,,,
Frame K-750 type,Wheel M-72N type (4),7787007 (Steering head - 2);  Needle 2.5x10 (Front fork levers - 120),"Felt seal 6mm thickness (Steering head, upper - 1); 51x58x3.5 (Steering head, lower - 1)",,,,,,,,,
Frame K-750M type,Wheel K-750M type (4),7787007 (Steering head - 2),"Felt seal 6mm thickness (Steering head, upper - 1); 51x58x3.5 (Steering head, lower - 1)",,,,,,,,,
Frame M-67 type,Wheel M-72M type (4),7787007 (Steering head - 2),51x59.5x5 (Steering head - 2),,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Wheel,,,,,,,,,,,
Name,Tire,"Diameter, mm","Diameter with tire, mm",Bearing,Seal,Hub,,,,,,
Wheel M-72 type,-,-,-,204 (Hub - 2),Felt seal 4mm thickness (Hub - 1),"Steel, plate type",,,,,,
Wheel M-72M type,-,-,-,7204 (Hub - 2),24x38x8 (Hub - 1),"Steel, chamomile type",,,,,,
Wheel M-72N type,-,-,-,7204 (Hub - 2),24x38x8 (Hub - 1),"Aluminium, narrow type",,,,,,
Wheel K-750M type,-,-,-,7204 (Hub - 2),24x38x8 (Hub - 1),"Aluminium, wide type",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Motorcycle,,,,,,,,,,,
Name,Manufacturer,Production,"Max speed, km/h","Weight, kg","Fuel capacity, l",Engine,Gearbox,Generator,Final drive,Frame and wheels,Sidecar reduction drive,Image
M-72,IMZ,1941-1957,90,300,19,Engine M-72 type,7204,G-11A,M-72 type,Frame M-72 type,-,motorcycle_m72.png
M-72M,IMZ / KMZ,1955-1960,90,300,19,Engine M-72 type,7204,G-11A,M-72 type,Frame M-72M type,-,motorcycle_m72m.png
M-72N,KMZ,1957-1958,90,300,19,Engine M-72 type,7204,G-11A,M-72 type,Frame M-72N type,-,motorcycle_m72n.png
K-750,KMZ,1958-1964,90,350,19,Engine K-750 type,7204,G-11A,M-72 type,Frame K-750 type,-,motorcycle_k750.png
K-750M,KMZ,1963-1970,90,350,19,Engine K-750M type,6204,G-414,M-72 type,Frame K-750M type,-,motorcycle_k750m.png
K-650 Dnepr,KMZ,1968-1971,105,350,19,MT-8,6204,G-414,M-72 type,Frame K-750M type,-,motorcycle_k650.png
Dnepr MT-9,KMZ,1971-1976,105,350,19,Engine MT-9 type,MT804,G-414,M-72 type,Frame K-750M type,-,motorcycle_mt9.png
Ural M67,IMZ,1973-1976,105,350,20,Engine M67 type,8.101-04001,G-424,M-72 type,Frame M-67 type,-,motorcycle_m67.png
Ural M67-36,IMZ,1976-1974,105,350,20,Engine M67-36 type,8.101-04001,G-424,M-72 type,Frame M-67 type,-,motorcycle_m67-36.png
R-75,BMW,1941-1946,95,420,-,-,-,-,-,-,-,-
KS750,Zundapp,1939-1948,95,420,23,-,-,-,-,-,-,motorcycle_ks750.png
Jupiter-4,IZHMASH,1980-1985,120,-,18,-,-,-,-,-,-,-
RT125,DKW,1939-1965,90,-,-,-,-,-,-,-,-,-
M1A,MMVZ,1951-?,-,-,9,-,-,-,-,-,-,-
M1M Monkey,MMVZ,1956-1961,75,-,9,-,-,-,-,-,-,-
M103,MMVZ,1962-1964,75,-,9,-,-,-,-,-,-,-
